X,Y_aproximado
5.510031,2.368740
5.520031,2.369304
5.530032,2.369864
5.540032,2.370420
5.550032,2.370972
5.560032,2.371521
5.570033,2.372066
5.580033,2.372607
5.590033,2.373144
5.600033,2.373678
5.610034,2.374208
5.620034,2.374734
5.630034,2.375257
5.640034,2.375776
5.650034,2.376292
5.660035,2.376804
5.670035,2.377312
5.680035,2.377817
5.690035,2.378319
5.700036,2.378817
5.710036,2.379311
5.720036,2.379802
5.730036,2.380290
5.740036,2.380774
5.750037,2.381255
5.760037,2.381733
5.770037,2.382207
5.780037,2.382679
5.790038,2.383146
5.800038,2.383611
5.810038,2.384072
5.820038,2.384530
5.830039,2.384985
5.840039,2.385437
5.850039,2.385885
5.860039,2.386331
5.870039,2.386774
5.880040,2.387213
5.890040,2.387649
5.900040,2.388083
5.910040,2.388513
5.920041,2.388940
5.930041,2.389364
5.940041,2.389785
5.950041,2.390204
5.960042,2.390619
5.970042,2.391032
5.980042,2.391441
5.990042,2.391848
6.000042,2.392252
6.010043,2.392653
6.020043,2.393051
6.030043,2.393446
6.040043,2.393839
6.050044,2.394229
6.060044,2.394616
6.070044,2.395001
6.080044,2.395383
6.090044,2.395762
6.100045,2.396138
6.110045,2.396512
6.120045,2.396883
6.130045,2.397252
6.140046,2.397618
6.150046,2.397981
6.160046,2.398342
6.170046,2.398700
6.180047,2.399056
6.190047,2.399409
6.200047,2.399760
6.210047,2.400108
6.220047,2.400454
6.230048,2.400797
6.240048,2.401138
6.250048,2.401477
6.260048,2.401813
6.270049,2.402147
6.280049,2.402478
6.290049,2.402807
6.300049,2.403134
6.310050,2.403458
6.320050,2.403780
6.330050,2.404100
6.340050,2.404418
6.350050,2.404733
6.360051,2.405046
6.370051,2.405357
6.380051,2.405665
6.390051,2.405972
6.400052,2.406276
6.410052,2.406578
6.420052,2.406878
6.430052,2.407176
6.440053,2.407471
6.450053,2.407765
6.460053,2.408056
6.470053,2.408346
6.480053,2.408633
6.490054,2.408918
6.500054,2.409202
6.510054,2.409483
6.520054,2.409762
6.530055,2.410039
6.540055,2.410314
6.550055,2.410588
6.560055,2.410859
6.570055,2.411128
6.580056,2.411396
6.590056,2.411661
6.600056,2.411925
6.610056,2.412187
6.620057,2.412447
6.630057,2.412705
6.640057,2.412961
6.650057,2.413215
6.660058,2.413467
6.670058,2.413718
6.680058,2.413967
6.690058,2.414214
6.700058,2.414459
6.710059,2.414703
6.720059,2.414944
6.730059,2.415184
6.740059,2.415423
6.750060,2.415659
6.760060,2.415894
6.770060,2.416127
6.780060,2.416359
6.790061,2.416589
6.800061,2.416817
6.810061,2.417043
6.820061,2.417268
6.830061,2.417491
6.840062,2.417713
6.850062,2.417933
6.860062,2.418151
6.870062,2.418368
6.880063,2.418583
6.890063,2.418797
6.900063,2.419009
6.910063,2.419219
6.920063,2.419429
6.930064,2.419636
6.940064,2.419842
6.950064,2.420047
6.960064,2.420250
6.970065,2.420451
6.980065,2.420651
6.990065,2.420850
7.000065,2.421047
7.010066,2.421243
7.020066,2.421437
7.030066,2.421630
7.040066,2.421821
7.050066,2.422011
7.060067,2.422200
7.070067,2.422388
7.080067,2.422574
7.090067,2.422758
7.100068,2.422941
7.110068,2.423123
7.120068,2.423304
7.130068,2.423483
7.140069,2.423661
7.150069,2.423838
7.160069,2.424013
7.170069,2.424187
7.180069,2.424360
7.190070,2.424532
7.200070,2.424702
7.210070,2.424871
7.220070,2.425039
7.230071,2.425206
7.240071,2.425371
7.250071,2.425535
7.260071,2.425698
7.270072,2.425859
7.280072,2.426020
7.290072,2.426179
7.300072,2.426337
7.310072,2.426494
7.320073,2.426650
7.330073,2.426805
7.340073,2.426959
7.350073,2.427111
7.360074,2.427262
7.370074,2.427413
7.380074,2.427562
7.390074,2.427710
7.400074,2.427856
7.410075,2.428002
7.420075,2.428147
7.430075,2.428291
7.440075,2.428433
7.450076,2.428575
7.460076,2.428715
7.470076,2.428855
7.480076,2.428993
7.490077,2.429131
7.500077,2.429267
7.510077,2.429403
7.520077,2.429537
7.530077,2.429670
7.540078,2.429802
7.550078,2.429934
7.560078,2.430064
7.570078,2.430194
7.580079,2.430322
7.590079,2.430450
7.600079,2.430576
7.610079,2.430702
7.620080,2.430827
7.630080,2.430950
7.640080,2.431073
7.650080,2.431195
7.660080,2.431316
7.670081,2.431436
7.680081,2.431556
7.690081,2.431674
7.700081,2.431791
7.710082,2.431908
7.720082,2.432024
7.730082,2.432138
7.740082,2.432252
7.750082,2.432365
7.760083,2.432478
7.770083,2.432589
7.780083,2.432700
7.790083,2.432809
7.800084,2.432918
7.810084,2.433026
7.820084,2.433134
7.830084,2.433240
7.840085,2.433346
7.850085,2.433451
7.860085,2.433555
7.870085,2.433658
7.880085,2.433761
7.890086,2.433862
7.900086,2.433964
7.910086,2.434064
7.920086,2.434163
7.930087,2.434262
7.940087,2.434360
7.950087,2.434457
7.960087,2.434554
7.970088,2.434650
7.980088,2.434745
7.990088,2.434839
8.000088,2.434933
8.010088,2.435026
8.020088,2.435118
8.030088,2.435210
8.040089,2.435301
8.050089,2.435391
8.060089,2.435480
8.070089,2.435569
8.080090,2.435657
8.090090,2.435745
8.100090,2.435832
8.110090,2.435918
8.120090,2.436003
8.130091,2.436088
8.140091,2.436172
8.150091,2.436256
8.160091,2.436339
